06/04/07;"0:32:34";"0:13:43";"0:14:39";"0:8:16";"0:0:14"
01/01/10;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
11/02/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
22/03/12;"0:33:6";"0:37:5";"1:6:9";"0:1:41";"0:0:0"
24/03/12;"0:12:37";"0:32:10";"0:10:17";"0:0:0";"0:0:0"
27/03/12;"0:4:28";"0:5:19";"0:13:29";"0:2:57";"0:0:2"
27/03/12;"0:0:0";"0:10:52";"0:1:43";"0:0:34";"0:0:0"
28/03/12;"0:4:46";"0:26:6";"0:19:42";"0:1:45";"0:0:0"
01/04/12;"0:6:0";"0:44:35";"3:18:21";"0:24:19";"0:0:0"
05/04/12;"0:19:14";"0:25:55";"0:17:32";"0:1:23";"0:0:0"
26/04/12;"0:19:0";"0:27:26";"0:7:20";"0:0:16";"0:0:0"
28/04/12;"2:4:40";"2:9:41";"2:29:55";"0:12:53";"0:0:0"
29/04/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/04/12;"0:37:54";"0:2:5";"0:1:12";"0:0:0";"0:0:0"
01/05/12;"1:39:19";"0:57:25";"0:20:58";"0:0:0";"0:0:0"
01/05/12;"0:0:32";"0:6:18";"0:21:15";"0:4:57";"0:0:0"
01/05/12;"1:31:14";"0:11:42";"0:2:33";"0:0:0";"0:0:0"
03/05/12;"0:1:42";"0:8:36";"0:4:42";"0:0:0";"0:0:0"
03/05/12;"0:24:49";"0:16:28";"0:9:7";"0:2:12";"0:0:33"
03/05/12;"0:2:6";"0:16:30";"0:8:59";"0:0:0";"0:0:0"
04/05/12;"0:20:47";"0:10:49";"0:2:17";"0:0:0";"0:0:0"
04/05/12;"0:9:8";"0:13:14";"0:3:27";"0:0:0";"0:0:0"
04/05/12;"0:12:29";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
07/05/12;"0:46:38";"1:38:29";"1:46:4";"0:4:4";"0:0:0"
12/05/12;"0:58:59";"1:35:16";"2:47:24";"0:1:55";"0:0:0"
13/05/12;"2:54:52";"1:52:56";"0:59:41";"0:0:19";"0:0:16"
15/05/12;"0:0:1";"0:15:11";"0:42:30";"0:9:13";"0:1:15"
17/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
19/05/12;"0:2:47";"0:32:54";"0:50:35";"0:11:20";"0:0:0"
20/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
23/05/12;"0:2:28";"0:11:24";"0:16:33";"0:6:31";"0:0:41"
26/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
27/05/12;"0:54:52";"1:5:27";"0:17:28";"0:0:0";"0:0:0"
31/05/12;"0:0:45";"0:18:23";"0:13:41";"0:9:15";"0:2:6"
01/06/12;"0:8:56";"0:29:50";"0:33:34";"0:1:34";"0:0:0"
04/06/12;"0:29:58";"0:14:25";"0:5:9";"0:0:0";"0:0:0"
07/06/12;"0:15:30";"0:29:21";"0:21:17";"0:6:28";"0:2:23"
09/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
12/06/12;"0:7:53";"0:7:54";"0:2:57";"0:0:0";"0:0:0"
12/06/12;"0:1:32";"0:22:12";"0:34:41";"0:12:30";"0:0:54"
12/06/12;"0:6:47";"0:9:0";"0:2:56";"0:0:0";"0:0:0"
15/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
21/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
25/06/12;"0:9:35";"0:5:30";"0:1:10";"0:0:0";"0:0:0"
25/06/12;"0:26:51";"0:9:34";"0:5:20";"0:0:19";"0:0:0"
26/06/12;"0:16:3";"0:4:50";"0:0:0";"0:0:0";"0:0:0"
26/06/12;"0:8:59";"0:24:25";"0:28:42";"0:9:3";"0:0:0"
26/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
28/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
03/07/12;"0:13:38";"0:12:47";"0:12:9";"0:3:27";"0:0:0"
03/07/12;"0:17:35";"0:22:48";"0:5:56";"0:3:47";"0:2:5"
03/07/12;"0:6:8";"0:10:14";"0:6:28";"0:0:0";"0:0:0"
08/07/12;"0:18:13";"0:50:48";"1:11:18";"0:4:16";"0:0:0"
11/07/12;"0:13:37";"0:38:17";"0:17:18";"0:4:8";"0:0:0"
12/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
13/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
15/07/12;"0:5:17";"0:23:43";"0:24:3";"0:5:55";"0:0:0"
23/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
24/07/12;"0:4:48";"0:19:2";"0:24:10";"0:6:28";"0:0:58"
26/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
27/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
29/07/12;"0:3:0";"0:20:35";"0:26:46";"0:6:41";"0:0:44"
30/07/12;"0:9:30";"0:22:43";"0:16:3";"0:1:52";"0:0:0"
01/08/12;"0:3:4";"0:2:33";"0:0:15";"0:0:0";"0:0:0"
04/08/12;"15:3:23";"1:59:35";"2:1:4";"0:12:37";"0:0:0"
05/08/12;"0:5:1";"0:2:41";"0:27:32";"0:0:0";"0:0:0"
07/08/12;"0:9:55";"0:50:21";"0:21:40";"0:0:0";"0:0:0"
07/08/12;"0:4:36";"0:10:9";"0:0:55";"0:0:0";"0:0:0"
08/08/12;"0:18:2";"0:0:46";"0:0:0";"0:0:0";"0:0:0"
08/08/12;"0:2:38";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
08/08/12;"0:3:42";"0:29:55";"0:49:36";"0:0:25";"0:0:0"
09/08/12;"0:2:57";"0:16:10";"0:26:6";"0:11:9";"0:0:55"
11/08/12;"0:3:38";"0:6:55";"0:2:52";"0:0:0";"0:0:0"
12/08/12;"1:56:55";"1:36:54";"2:25:27";"0:4:46";"0:0:0"
14/08/12;"0:15:57";"0:4:50";"0:0:0";"0:0:0";"0:0:0"
14/08/12;"0:9:58";"0:7:13";"0:0:45";"0:0:0";"0:0:0"
15/08/12;"1:13:52";"1:53:4";"1:57:29";"0:12:2";"0:0:0"
20/08/12;"0:7:49";"0:0:59";"0:0:9";"0:0:0";"0:0:0"
